Part Name,Image,Quantity,Part Type,Source 1,Source 2,Optional,Note
M3x8mm-button-head,https://www.mcmaster.com/mvD/Contents/gfx/ImageCache/920/92095A181p1-b01-digitall@2x_636621119072096469.png,35,FST,https://www.mcmaster.com/92095A181/,,,ISO7380-1
M3x10mm-button-head,https://www.mcmaster.com/mvD/Contents/gfx/ImageCache/920/92095A182p1-b01-digitall@2x_636621118111286310.png,14,FST,https://www.mcmaster.com/92095A182/,,,ISO7380-1
M3x14mm-button-head,https://www.mcmaster.com/mvD/Contents/gfx/ImageCache/920/92095A168p1-b01-digitall@2x_636621121852034289.png,15,FST,https://www.mcmaster.com/92095A168/,,,ISO7380-1
M3x16mm-socket-head,https://www.mcmaster.com/mvC/Contents/gfx/ImageCache/912/91292a115-@4x_637619456157301135.png,15,FST,https://www.mcmaster.com/91292A115,,,ISO4762
M3x16mm-flat-head,https://www.mcmaster.com/mvD/Contents/gfx/ImageCache/912/91294A134_23bdb36f-4878-4fbc-88dd-5d117f57c62d@4x_637977141955902560.png,1,FST,https://www.mcmaster.com/91294A134/,,,ISO10642
M3x30mm-socket-head,https://www.mcmaster.com/mvD/Contents/gfx/ImageCache/912/91292a022-@2x_637619448732294609.png,5,FST,https://www.mcmaster.com/91292A022,,,ISO4762
M5x8mm-button-head,https://www.mcmaster.com/mvD/Contents/gfx/ImageCache/920/92095A207p1-b01-digitall@2x_636621089149232657.png,20,FST,https://www.mcmaster.com/92095A207/,,,ISO7380-1
M5x10mm-socket-head,https://www.mcmaster.com/mvD/Contents/gfx/ImageCache/901/90128a234-@4x_637648793587366175.png,34,FST,https://www.mcmaster.com/90128A234/,,,ISO4762
M5x16mm-socket-head,https://www.mcmaster.com/mvD/Contents/gfx/ImageCache/901/90128a244-@2x_637648785745369464.png,5,FST,https://www.mcmaster.com/91290A232/,,,ISO4762
M5x25mm-socket-head,https://www.mcmaster.com/mvD/Contents/gfx/ImageCache/901/90128a249-@4x_637648795131026792.png?ver=ImageNotFound,9,FST,https://www.mcmaster.com/90128A249,,,ISO4762
M5x40mm-socket-head,https://www.mcmaster.com/mvD/Contents/gfx/ImageCache/912/91292a194-@4x_637619465291076976.png?ver=ImageNotFound,13,FST,https://www.mcmaster.com/91292A194/,,,ISO4762
M3x25mm-hex-standoff,https://www.mcmaster.com/mvD/Contents/gfx/ImageCache/959/95947A018p1-j08-digitall@4x_636874448611252255.png,4,FST,https://www.mcmaster.com/95947A018/,,,Use a standoff that is internally-threaded on both sides for easier assembly.
M3x10-hex-head,https://www.mcmaster.com/mvC/Contents/gfx/ImageCache/912/91280A041Black-Medium-Gloss-Plasticnegative_right_positive_front_flop15_1624036305_867@2x_637596151330980956.png?ver=ImageNotFound,8,FST,https://www.mcmaster.com/91280A041/,,,Required for mounting universal PCB fixture components to a staging-plate.
M3-wing-nut,https://www.mcmaster.com/mvD/Contents/gfx/ImageCache/943/94300A120p1-b01-digitall@2x_636713278935080000.png,12,FST,https://www.aliexpress.com/item/2251832780237629.html,,,Required for mounting universal PCB fixture components to a staging-plate.
mobo,,1,PCA,https://opulo.io/products/staging-plate,,,Remove the camera cover plate from the center of the PCB before using a staging-plate in combination with a bottom-camera.
slot,,1,PCA,https://opulo.io/products/lumenpnp-pcb-kit,,,Click link above to download source
drive-wheel,,1,PCB,https://opulo.io/products/lumenpnp-pcb-kit,,,Click link above to download source
light-diffusion,,1,PCB,https://opulo.io/products/lumenpnp-pcb-kit,,,Click link above to download source
photon-8mm-fid,,1,PCB,https://opulo.io/products/lumenpnp-pcb-kit,,,Click link above to download source
slot-harness,,1,CHA,,,,Click link above to download source
n20-motor,https://www.makerfabs.com/image/cache/makerfabs/N20%20DC%20Gear%20Motor/N20%20DC%20Gear%20Motor_3-1000x750.jpg,4,MISC,https://www.servocity.com/110-rpm-micro-gear-motor/,,,1:210 gear ratio.
right-angle-n20,https://sharvielectronics.com/wp-content/uploads/2022/06/N20-3V-50-RPM-Micro-Metal-Gear-Motor-With-Encoder_-Sharvielectronics.jpg,2,MISC,https://www.aliexpress.com/w/wholesale-worm-n20-encoder.html?catId=0&initiative_id=SB_20230324123628&SearchText=worm+n20+encoder,,,14-tick per revolution encoder. 1:1030 gear ratio.
shaft-collar,https://m.media-amazon.com/images/I/51dc5w8vG5L._AC_.jpg,2,MISC,https://www.amazon.com/gp/product/B01EA912P8/ref=ppx_yo_dt_b_asin_title_o09_s00?ie=UTF8,,,
